food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
pork olive loaf,66,4.6,2.6,0,3.3,0,10.6,0.2
beef luncheon meat jellied,31,0.9,0,0,5.3,0,9.5,1
turkey pastrami,38,1.8,0.5,1,4.6,0.062,19.4,1.2
pork salami,41,3.4,0.2,0,2.3,0,7.9,0.1
canadian style bacon raw,45,2,0.5,0,5.9,0,14.3,0.2
honey loaf,85,3.6,2.6,2.6,9.9,0,26.2,0.6
pork beef salami,37,3.1,0.076,0.008,2.1,0,10.6,0.042
beef pork bologna,92,7.4,1.6,1.3,4.6,0,18,0.4
pork beef salami cooked,41,3.2,0.3,0.1,2.7,0,10.9,0.2
pork breakfast strips raw,88,8.4,0.2,0,2.7,0,15.6,0.2
pickle pimiento loaf,86,6.1,3.2,3.2,4.3,0.6,22,0.5
luxury loaf,39,1.3,1.4,0,5.2,0,10.1,0.3
mortadella,47,3.8,0.5,0,2.5,0,8.4,0.2
pork bologna,69,5.6,0.2,0,4.3,0,16.5,0.2
turkey salami cooked,9,0.5,0.081,0.063,1,0.054,3.8,0.026
pepperoni beef,10,0.9,0,0,0.5,0,2.1,0.035
peppered loaf,42,1.8,1.3,1.3,4.9,0,13.1,0.3
luncheon meat beef,10,0.3,0,0,1.8,0,3.2,0.3
lebanon bologna,98,6,0.3,0,10.8,0,31.4,1.2
chicken pork bologna,94,8.6,1.2,0,2.9,0,24.4,0.3
turkey roll,40,1.9,0.6,0,4.9,0,14.9,0.4
beef salami cooked,68,5.8,0.5,0.4,3.3,0,18.5,0.6
yachtwurst cooked,150,12.7,0.8,0,8.3,0,35.8,0.6
italian salami,43,3.7,0.1,0.1,2.2,0,8,0.2
turkey ham,38,1.6,0.3,0.1,5.5,0,18.8,0.4
turkey bologna,59,4.5,1.3,0.8,3.2,0.1,21,0.8
sliced turkey breast,17,0.6,0.4,0.1,2.4,0,7.8,0.023
luncheon meat pork beef,99,9,0.7,0,3.5,0,15.4,0.2
beef bologna,90,7.8,1.3,0.6,3.3,0,17.1,0.01
turkey bacon cooked,313,22.9,2.5,0,24.3,0,80.4,1.7
ground emu cooked,178,5.1,0,0,31,0,94.8,0.3
ostrich leg raw,94,1.5,0,0,19,0,56.1,2
ostrich strip raw,108,2.4,0,0,20.1,0,62.1,3.6
emu fillet cooked,607,9.1,0,0,123.2,0,323.1,18
ostrich tenderloin raw,105,2.7,0,0,18.8,0,68,4.1
emu drums cooked,649,8.4,0,0,134.7,0,378.6,30.2
green turtle raw,25,0.1,0,0,5.6,0,14.2,0.4
ground bison cooked,448,21.6,0,0,63.6,0,177.5,8
goat meat raw,494,10.5,0,0,93.4,0,258.6,12.8
ground emu raw,157,4.7,0,0,26.6,0,80.7,4.7
ground ostrich raw,180,9.5,0,0,22,0,77.4,3.2
ostrich tip cooked,123,2.2,0,0,24.2,0,72.3,2.4
caribou cooked,210,6.4,0,0,38,0,141.2,6.3
ground ostrich cooked,163,6.6,0,0,24.3,0,77.2,0.1
ostrich leg cooked,120,1.6,0,0,24.7,0,62.1,2.7
ostrich top loin cooked,132,3.3,0,0,23.9,0,79.1,0.1
ostrich strip cooked,139,3.6,0,0,25,0,82.5,4.1
ostrich tip raw,97,2,0,0,18.6,0,61.2,2.4
ostrich round raw,99,2,0,0,18.7,0,60.4,3
ground bison raw,124,6.1,0.099,0,17.2,0,46.8,2.4
ostrich fan raw,99,2.3,0,0,18.5,0,62.1,3.7
ostrich top loin raw,101,2.5,0,0,18.4,0,63.8,2.7
veal brain cooked,461,32.6,0,0,38.9,0,10509,5.7
veal tongue cooked,515,25.8,0,0,65.9,0,606.9,5.3
beef heart cooked,47,1.3,0.057,0,8.1,0,60,0.2
turkey liver cooked,100,4.3,0,0,14.3,0,343.4,0.9
veal thymus cooked,35,0.9,0,0,6.4,0,99.1,0.4
beef brain cooked,688,55.6,0,0,44.1,0,7002.5,7.8
beef pancreas cooked,602,38.2,0,0,60.2,0,581.6,5.8
beef tripe cooked,80,3.4,1.7,0,10,0,133.5,0.6
chicken gizzard cooked,223,3.9,0,0,44.1,0,536.5,4.6
pork pancreas cooked,537,26.5,0,0,69.8,0,771.8,6.6
beef tongue cooked,80,6.3,0,0,5.5,0,37.4,0.7
lamb heart cooked,353,15.1,3.7,0,47.7,0,475.6,10.5
beef spleen cooked,447,12.9,0,0,77.3,0,1068.8,121.2
veal kidneys cooked,300,10.4,0,0,48.4,0,1455.4,5.6
chicken heart cooked,268,11.5,0.1,0,38.3,0,350.9,13.1
lamb tongue cooked,701,51.7,0,0,55,0,482,6.7
veal heart cooked,368,13.4,0.3,0,57.7,0,348.5,8.6
chicken liver cooked,76,2.8,0.5,0,11.3,0,248.2,0.2
lamb pancreas cooked,541,34.9,0,0,52.7,0,924,4.9
veal spleen cooked,445,10,0,0,83.1,0,1542.2,25.4
lamb liver cooked,739,29.6,8.5,0,102.7,0,1683.4,27.8
turkey gizzard cooked,70,2.1,0,0,11.9,0,203.4,1.7
lamp spleen cooked,460,14.1,0,0,78.1,0,1135.8,114.1
turkey heart cooked,35,1.5,0,0,5,0,71.8,1.4
beef liver cooked,130,3.6,3.5,0,19.8,0,269.3,9.7
lamb lungs cooked,431,11.8,0,0,75.7,0,1082,17.4
pork brain cooked,527,36.3,0,0,46.4,0,9748.6,7
goose liver,125,4,5.9,0,15.4,0,484.1,28.7
pork kidneys cooked,211,6.6,0,0,35.6,0,672,7.4
lamb brain cooked,503,35.3,0,0,43.5,0,7089.2,5.8
pork heart cooked,215,7.3,0.6,0,34.2,0,320.5,8.5
lamb kidneys cooked,349,9.2,2.5,0,60.3,0,1440.8,31.6
beef lungs cooked,364,11.2,0,0,61.8,0,839.3,16.4
veal pancreas cooked,614,35,0,0,69.8,0,0,5.7
pork liver cooked,584,15.6,13.3,0,92.1,0,1256.7,63.4
beef kidneys cooked,45,1.3,0,0,7.7,0,202.6,1.6
turkey giblets cooked,164,6.3,0,0,25.1,0,495,0.7
duck liver raw,60,2,1.6,0,8.2,0,226.6,13.4
veal liver cooked,154,5,3,0,22.7,0,408.8,12
pork lungs cooked,297,9.3,0,0,49.8,0,1161,49.2
veal lungs cooked,312,7.9,0,0,56.2,0,789,10.8
beef thymus cooked,1215,95.2,0,0,83.2,0,1120.1,5.7
ham,46,2.5,1,0.3,4.6,0.4,16,0.3
pork meat cooked,283,14.1,0,0,14.1,0,112.6,0.7
bacon roasted,43,3.3,0.1,0,3,0,8.8,0.096
pork top loin roasts raw,3644,182.8,0,0,468.4,0,1404.8,11.6
pork blade roll raw,76,6.2,0,0,4.7,0,15,0.2
pork backribs raw,2399,174.9,0,0,204.2,0,739,8.1
pork spareribs cooked,703,53.6,0,0,51.4,0,214.2,3.3
pork stomach cooked,44,2.1,0.029,0,6.1,0,89.4,0.3
honey smoked ham cooked,67,1.3,4,0,9.9,0,12.1,0.2
boston butt steak raw,844,56.1,0,0,79,0,281.2,5.1
pork sirloin chops cooked,140,4.5,0,0,23.3,0,65.6,0.012
pork country style ribs raw,242,15.1,0,0,24.8,0,94.7,1.1
ham patties,205,18.3,1.1,0,8.3,0,45.5,0.7
pork feet cooked,67,4.5,0,0,6.2,0,30.3,0.3
ground pork cooked,930,65,0,0,80.4,0,294.2,4
pork centre loin chops cooked,328,17.4,0,0,40.2,0,131.9,0.1
pork leg cap steak cooked,307,8.6,0,0,53.5,0,157.1,1.9
pork blade chops raw,376,15.4,0,0,55.8,0,155.2,1.9
pork tenderloin raw,606,17.8,0,0,104.3,0,328.3,4.9
pork sirloin chops raw,1090,23.3,0,0,205.5,0,567.6,5
pork leg cap steak raw,284,7.8,0,0,50,0,145.5,1.9
pork carcass raw,1706,159.1,0,0,63.1,0,335.7,3.1
pork splean cooked,446,9.6,0,0,84.3,0,1507,66.5
chopped ham,50,2.9,1.2,0,4.6,0,16.5,0.2
pork centre loin chops raw,338,18,0,0,41.2,0,137.3,1.3
pork blade chops cooked,265,14.6,1.1,0,32.4,0,100.9,1.2
boston butt steak cooked,494,32.7,0,0,46.4,0,181.3,3.2
pork meat raw,179,18.6,0,0,2.6,0,20.4,0.07
pork top loin chops raw,287,12.8,0,0,39.9,0,124,0.9
pork blade steak braised,694,44.7,0.087,0,68.2,0,256.1,0.5
pork boston steaks cooked,438,28.1,0,0,43.2,0,160.6,2.4
bacon cooked,43,3.1,0.068,0,3.5,0,10.1,0.047
pickled pork hocks,48,3,0,0,5.4,0,25.2,0.3
pork boston roast cooked,705,49.4,0,0,60.5,0,225.3,3.8
canadian style bacon grilled,43,2,0.3,0,5.7,0,13.6,0.2
ham steak,70,2.4,0,0,11.1,0,25.7,0.6
pork backfat,3683,402.3,0,0,13.2,0,258.6,0.8
bacon baked,44,3.5,0.1,0,2.9,0,8.7,0.054
pork arm picnic raw,5298,343.4,0,0,513.6,0,1729.4,15.6
salt pork raw,212,22.8,0,0,1.4,0,24.3,0.1
pork arm picnic cooked,5292,322.7,0,0,560.3,0,1936.7,20.7
pork top loin chops cooked,270,11.2,0,0,39.4,0,97.2,0.1
ground pork raw,329,26.5,0,0,21.1,0,90,1.1
pork shoulder raw,1070,81.6,0,0,77.9,0,322.1,4.8
pork chitterlings cooked,66,5.8,0,0,3.5,0,78.4,0.056
pork breakfast strips cooked,52,4.1,0.1,0,3.3,0,11.9,0.2
pork blade roll roasted,1079,88.3,1.4,0,65,0,251.9,3.3
pork tail cooked,1089,98.5,0,0,46.8,0,354.8,2.2
pork centre rib roasts raw,275,9.7,0,0,44,0,113.1,1.2
pork centre rib roasts roasted,1942,114.9,0,0,211.3,0,610.7,0.7
minced ham,55,4.3,0.4,0,3.4,0,14.7,0.2
ham roasted,316,21.3,0.6,0,28.7,0,86.8,1.9
pork loin raw,232,14.7,0,0,23.1,0,73.7,0.9
pork backribs roasted,2564,188.9,0,0,202,0,737.5,0.9
pork belly raw,2350,240.5,0,0,42.4,0,326.6,2.4
ham raw,266,18.2,0.046,0,23.8,0,54.6,1.2
ham extra lean,45,2.3,0.6,0,5.1,0,14.8,0.3
pork feet pickled,635,45.5,0.029,0,52.8,0,376.5,1.4
pork shoulder cooked,394,28.9,0,0,31.4,0,121.5,1.8
pork top loin roasts roasted,1628,74.8,0,0,224.3,0,678.4,0.7
pork skin,154,8.9,0,0,17.3,0,26.9,0.2
pork country style ribs cooked,235,15.2,0,0,22.8,0,88.6,1.2
pork blade steak raw,664,43.7,0.6,0,67.6,0,243.7,3.8
pork tenderloin cooked,153,6.2,0,0,22.7,0,71.4,1.1
pork loin cooked,213,12.1,0,0,24.2,0,71.2,1
pork ears cooked,184,12,0.2,0,17.7,0,99.9,1.7
pork tongue cooked,626,43,0,0,55.7,0,337.3,11.5
pork spareribs raw,3593,303.5,0,0,200.6,0,1037.6,11.8
ham patties grilled,205,18.5,1,0,8,0,43.2,1
chicken skin roasted,508,45.6,0,0,22.8,0,93,1.7
turkey breast raw,3554,158.9,0,0,495.6,0,1471.6,27.2
ground turkey raw,169,8.7,0,0,22.4,0,78.7,1.2
chicken wing cooked,52,3.5,0,0,4.8,0,14.7,0.2
turkey roast roasted,209,7.8,4.1,0,28.8,0,71.6,2.2
pheasant meat raw,1448,74.3,0,0,181.6,0,568,9.2
chicken back raw,188,17,0,0,8.3,0,46.6,0.6
chicken back cooked,93,6.5,0,0,8,0,28.1,0.4
chicken leg fried,431,25.5,13.8,0,34.4,0.5,142.2,2.2
chicken feet cooked,975,66.2,0.9,0,88,0,381,4.1
turkey steak fried,179,10.8,10.9,0,9.1,0,41,1.4
turkey taco meat cooked,271,13.9,5.5,0,30.7,0,129.9,3.3
chicken leg raw,736,54.9,0.6,0,56.3,0,319.9,2.4
chicken meat raw,1978,138.6,0,0,171.1,0,690,8.3
chicken neck cooked,94,6.9,0,0,7.5,0,26.6,0.9
chicken drumstick fried,193,11.3,6,0,15.8,0.2,61.9,1
quail egg,14,1,0.08,0.048,1.2,0,76,0.3
duck meat cooked,472,39.7,0,0,26.6,0,117.6,3.8
chicken wing roasted,216,14.3,0,0,20.2,0,119.9,0.092
quail meat cooked,1028,63.9,0,0,113.7,0,389.6,20.1
goose meat cooked,427,30.7,0,0,35.2,0,127.4,4
chicken breast cooked,114,4.5,0,0,17.3,0,48.7,0.6
chicken neck raw,149,13.1,0,0,7,0,49.5,1
duck egg,130,9.6,1,0.7,9,0,618.8,2.7
pheasant breast raw,484,11.8,0,0,88.7,0,211.1,2.9
duck meat raw,5123,498.8,0,0,145.7,0,963.7,30.4
squab meat raw,585,47.4,0,0,36.8,0,189.1,7
chicken drumstick raw,211,12.4,0.1,0,23.4,0,122.4,0.8
turkey meat roasted,284,11.1,0.031,0,42.8,0,163.5,1.6
chicken breast raw,299,16.1,0,0,36.3,0,111.4,1.3
ground chicken cooked,474,27.4,0,0,58.4,0,268.6,0.2
turkey wing cooked,426,23.1,0,0,50.9,0,150.7,2.7
goose meat raw,6077,550.7,0,0,259.8,0,1310.4,41
turkey breast roasted,3266,128,0,0,496.1,0,1278.7,24.2
chicken fajita strips,13,0.5,0.2,0,1.7,0,8.3,0.097
crispy chicken strips tyson,145,6,0,0,0,0,0,0
chocolate pudding fat free,105,0.3,23.6,17.8,2.2,0.3,1.1,1.9
tapioca pudding,143,4.3,23.9,16.4,2.1,0,1.1,0.1
tapioca pudding fat free,105,0.4,23.9,15.9,1.6,0,1.1,0.1
rice pudding,122,2.4,20.8,13.1,3.6,0.3,13.6,0.014
corn pudding,328,12.6,42.4,16.5,11.1,3,180,0.1
chocolate pudding,213,6.9,34.5,25.8,3.1,0,1.5,1.9
lemon pudding,173,4.4,30.2,0,4.1,0,16.5,0.058
vanilla pudding,195,5.7,33.9,25.5,2.2,0,1.5,0.1
profeel proteiinirahka valio,140,0.4,19.3,0.2,175,0,0,0
cottage cheese creamed,20,0.9,0.7,0.5,2.2,0,3.4,0.071
zaziki milfina,51,4.4,0,0,0,0,0,0
cottage cheese low fat,163,2.3,6.1,6.1,28,0,9,0.3
cottage cheese nonfat,104,0.4,9.7,2.7,15,0,10.2,0.2
vanilla yogurt low fat,208,3.1,33.8,33.8,12.1,0,12.3,0.2
classique yogurt plain 2 liberte,30,1.2,1.7,1.7,3.3,0,0.017,0
yoplait light strawberry yogurt yoplait,79,0,0.074,0,0,0,0,0
vanilla yogurt,145,2.1,23.5,23.5,8.4,0,8.5,0.1
chocolate yogurt,168,0,35.3,22.5,5.3,1.8,1.5,0.6
yogurt parfait,125,1.5,23.6,17.4,5,1.6,4.5,0.7
yogurt,92,4.9,7,7,5.2,0,19.5,0.001
chocolate frozen yogurt,221,6.3,37.6,33.5,5.2,4,22.6,0.8
frozen yogurt,221,6.3,37.6,34.7,5.2,0,22.6,0.8
yogurt low fat,154,3.8,17.2,17.2,12.9,0,14.7,0.2
vanilla yoghurt oikos,120,1.8,0,0,0,0,0,0
fruit yogurt,149,1.7,28,28,6,0,7.5,0.066
danone low fat alsafi,88,1.7,0.089,255,0,0,0,0
fruit n yogurt parfait mcdonalds,156,1.9,30.9,19.1,4.1,1.5,7.5,0.7
triple zero greek yogurt dannon oikos,120,0,22.5,6,0.038,0,0,0
greek yogurt,100,0.7,6.1,5.5,17.3,0,8.5,0.1
chocolate rasberry protein mini proteinfx,102,2.9,0,0,0,0,0,0
gushers fruit gushers,360,6,0.2,0,0,0,0,0
egg fried,90,6.8,0.4,0.2,6.3,0,184.5,0.9
glucerna abbott,1010,35.6,120.9,49.8,0,12.8,0,0
sports drink,26,0,7.2,0,0,0,0,0.1
peanut butter cookie protein syntha 6,200,6,5,0,0,0,0,0
hanfprotein pulver rohkostqualitat veganz,107,3.1,14.2,0.057,0,0,0,0
smoothie high protein creamy chocolate slimfast,110,3.5,2.1,1,12,0,5,0
egg large,138,9.3,0,0,0,0,0,0
boysenberries frozen,66,0.3,16.1,9.1,1.5,7,0,1.1
malt beverage,88,0.3,19.1,19.1,0.5,0,0,0.1
chocolate powder for milk,88,0.5,19.9,18,1,1,0,0
vegetable fruit juice,9,0.017,2.2,0.6,0.071,0,0,0.013
cocoa powder unsweetened,12,0.7,3.1,0.087,1.1,1.8,0,0.7
coconut milk,35,3.6,0.8,0.5,0.3,0.3,0,0.2
cocoa powder,28,0.3,5.9,4.6,0.5,0.3,0,0.075
rice drink,113,2.3,22,12.7,0.7,0.7,0,0.013
coconut water,46,0.5,8.9,6.3,1.7,2.6,0,0.7
caramel med iced coffee dunkin donuts,268,9,0,0,0,0,0,0
instant coffee with water decaffeinated,4,0,0.8,0,0.2,0,0,0.042
instant coffee powder,353,0.5,75.4,0,12.2,0,0,4.4
instant coffee powder decaffeinated,6,0.069,1.4,0,0.2,0,0,0.056
instant cappuccino powder,53,0.7,11.2,9,0.4,0.2,0.3,0.036
coffee decaffeinated,0,0,0,0,0.2,0,0,0.1
espresso decaffeinated,3,0.011,0.5,0,0.065,0,0,0.087
instant coffee with water,4,0,0.6,0,0.2,0,0,0.015
coffee,2,0.069,0,0,0.3,0,0,0.051
espresso,3,0.086,0.5,0,0.021,0,0,0.049
whey protein powder vanilla eas,108,1.7,0,0,0,0,0,0
energy drink sugar free red bull,13,0.2,1.8,0,0.6,0,0,0.023
powerade coca cola,9,0.009,2.3,1.8,0,0,0,0.096
amp energy pepsi,110,0.2,29,29,0.6,0,0,0.053
gatorade g2 pepsi,2,0.052,0.6,0.4,0.069,0,0,0
amp energy sugar free pepsi,5,0,2.5,0,0,0,0,0
energy drink red bull,111,0,26.4,26.4,1.2,0,0,0.049
powerade zero ion4 coca cola,0,0,0,0,0,0,0,0.072
full throttle coca cola,110,0.2,29,29,0.6,0,0,0.037
passion fruit juice purple,148,0.4,35.7,35.2,1.7,0.5,0,0.9
pomegranate juice,134,0.7,32.7,31.5,0.4,0.2,0,0.2
cranberry apricot juice,157,0,39.7,0,0.5,0.2,0,0.4
pineapple juice,133,0.3,32.2,25,0.9,0.5,0,0.2
passion fruit juice yellow,126,0.1,33.6,33.1,1,0.5,0,0.6
orange apricot juice,128,0.3,31.8,30.2,0.8,0.3,0,0.3
tangerine juice,106,0.5,24.9,24.5,1.2,0.5,0,0.06
orange juice,90,0.4,20.8,16.8,1.4,0.4,0,0.06
grapefruit juice,96,0.2,22.7,0,1.2,0,0,0.004
pineapple grapefruit juice,118,0.3,29,28.8,0.5,0.3,0,0.8
tamarind nectar,143,0.3,37,31.9,0.2,1.3,0,1.9
apple juice,114,0.3,28,23.9,0.2,0.5,0,0.065
limeade,128,0,34.1,32.8,0,0,0,0
guava nectar,158,0.2,40.8,32.5,0.2,2.5,0,0.055
orange grapefruit juice,106,0.2,25.4,25.1,1.5,0.2,0,1.1
orange juice sainsburys,14,0.088,0,0,0,0,0,0
cranberry apple juice,154,0.3,38.8,35.5,0,0,0,0.2
pineapple orange juice,125,0,29.5,29,3.3,0.3,0,0.7
pear nectar,150,0.062,39.4,0,0.3,1.5,0,0.2
blackberry juice,95,1.5,19.5,19.3,0.8,0.3,0,1.2
lemon juice,54,0.6,16.6,6.1,0.9,0.7,0,0.073
cranberry grape juice,137,0.2,34.3,0,0.5,0.2,0,0.04
citrus fruit juice,114,0.057,28.3,20.2,0.8,0.2,0,2.8
prune juice,182,0.006,44.7,42.1,1.6,2.6,0,3
guanabana nectar,148,0.4,37.5,32.8,0.3,0.3,0,0.9
fruit juice,108,0.1,26.3,24.2,0.3,0.2,0,0.039
horchata,15,0.2,3.3,2.6,0.1,0,0,0.057
fruit punch,98,0.4,24.4,0,0.2,0,0,0.5
apricot nectar,139,0.2,35.7,34.2,0.9,1.5,0,0.9
orangensaft ja,86,0,1.4,0.024,0,0,0,0
fruchtcocktail granini,102,0.4,1,0,0,0,0,0
peach nectar,125,1.3,29.7,27.8,0.5,0.2,0,0.2
orange pineapple juice,15,0.08,3.6,3.1,0.1,0.032,0,0.086
cranberry juice,92,0.3,24.4,24.2,0.8,0.2,0,0.1
white grapefruit juice,96,0.2,22.7,22.5,1.2,0.2,0,0.5
mango nectar,128,0.2,32.9,31.2,0.3,0.8,0,0.087
acerola cherry juice,56,0.7,11.6,10.9,1,0.7,0,1.2
apple juice concentrate,350,0.8,86.5,81.9,1.1,0.8,0,1.9
papaya nectar,143,0.4,36.3,34.8,0.4,1.5,0,0.029
apple juice martinellis,122,0,0,0,0,0,0,0
lime juice,61,0.2,20.4,4.1,1,1,0,0.2
grape juice,152,0.3,37.4,35.9,0.9,0.5,0,0.6
water dannon,0,0,0,0,0,0,0,0
tap water,0,0,0,0,0,0,0,0
table water,0,0,0,0,0,0,0,0
fruit flavored water,52,0,13,13,0,0,0,0
water,0,0,0,0,0,0,0,0
cola light coca cola,0,0,0,0,0,0,0,0
lemon lime soda,151,0,38.4,37.6,0.3,0,0,0.061
tonic water,114,0,29.6,29.6,0,0,0,0.09
lemonade low calorie,7,0,1.6,0,0.092,0,0,0.1
ginger ale,68,0,17.5,17.4,0,0,0,0.024
ice tea lemon flavor nestle,88,0,22.3,22.3,0,0,0,0
sprite coca cola,80,0.063,20.3,18,0.1,0,0,0.042
cola coca cola,151,0,38.9,38.9,0,0,0,0.048
cola,74,0.07,19.1,17.9,0.1,0,0,0.012
cream soda,252,0,65.7,65.7,0,0,0,0.2
club soda,0,0,0,0,0,0,0,0.015
pink lemonade,86,0.3,21.6,20.6,0.1,0.2,0,0.092
grape soda,160,0,41.7,0,0,0,0,0.3
cola without caffeine coca cola,151,0,38.9,38.9,0,0,0,0.026
white lemonade,80,0.003,20.8,20,0.1,0,0,0.013
chocolate soda,207,0,52.6,52.6,0,0,0,0.5
sweet tea lipton,130,0,35,35,0,0,0,0
hibiscus tea,74,1.3,14.8,12,0.9,0.6,0,17.3
instant lemon tea,2,0,0.3,0.047,0.1,0,0,0.026
pesca tea santal,116,0,0,0,0,0,0,0
instant lemon tea sweetened,91,0.2,22.3,21.6,0.071,0.3,0,0
tea with milk and sugar yorkshire,15,0.5,0.4,0,0,0,0,0
tea blueberry muffin tekanne,4,0.2,0.4,0.007,0,0,0,0
chamomile tea,2,0,0.4,0,0,0,0,0.2
black tea,2,0,0.7,0,0,0,0,0.088
herb tea,2,0,0.4,0,0,0,0,0.2
clam tomato juice,80,0.3,18.2,5.5,1,0.7,0,0.2
tomato juice,41,0.7,8.6,6.3,2.1,1,0,0.1
vegetable juice,53,0.2,11.1,7.9,1.5,1.9,0,0.5
tomato vegetable juice,53,0.2,11.1,9.2,1.5,1.9,0,1
carrot juice,80,0.3,18.6,7.8,1.9,1.6,0,0.9
acorn dried,144,8.9,15.2,0,2.3,0,0,0.3
fenugreek seeds,36,0.7,6.5,0,2.6,2.7,0,3.7
peanut topping mcdonalds,181,15,4.6,1.2,7.9,0,0,0.4
beechnuts dried,173,15,10.1,0,1.9,0,0,0.7
breadnut tree seeds raw,61,0.3,13.1,0,1.7,0,0,0.6
cumin seeds,8,0.5,0.9,0.063,0.4,0.2,0,1.4
pili nuts dried,863,95.5,4.8,0,13,0,0,4.2
hazelnuts roasted,194,18.7,5.3,1.5,4.5,2.8,0,1.3
lupins cooked,193,4.8,15.4,0,25.8,4.6,0,2
hazelnuts blanched,178,17.3,4.8,1,3.9,3.1,0,0.9
brazilnuts dried,33,3.3,0.6,0.1,0.7,0.4,0,0.1
sunflower seeds dry roasted,47,4,1.9,0.2,1.5,0.9,0,0.3
ginkgo nuts canned,172,2.5,34.3,0,3.5,14.4,0,0.4
peanuts cooked,572,39.6,38.3,4.4,24.3,15.8,0,1.8
pumpkin squash seeds dried,721,63.3,13.8,1.8,39,7.7,0,11.4
cashew nuts raw,156,12.4,8.5,1.7,5.2,0.9,0,1.9
sunflower seeds dried,269,23.7,9.2,1.2,9.6,4,0,2.4
lotus seeds dried,106,0.6,20.6,0,4.9,0,0,1.1
butternuts dried,734,68.4,14.5,0,29.9,5.6,0,4.8
sesame seeds dried,52,4.5,2.1,0.031,1.6,1.1,0,1.3
breadfruit seeds,57,1.7,8.8,0,2.2,1.6,0,1.1
pinyon pine nuts dried,1,0.073,0.01,0,0.083,0.005,0,0.007
pine nuts dried,909,92.3,17.7,4.8,18.5,5,0,7.5
flaxseeds,55,4.3,3,0.2,1.9,2.8,0,0.6
safflower seed kernels dried,146,10.9,9.7,0,4.6,0,0,1.4
pistachio nuts raw,691,55.8,33.8,9.4,24.9,12.7,0,4.8
peanuts raw,828,71.9,23.5,5.8,37.7,12.4,0,6.7
poppy seeds,46,3.7,2.5,0.3,1.6,1.7,0,0.9
valencia peanuts raw,832,69.5,30.5,0,36.6,12.7,0,3.1
spanish peanuts,832,72.4,23.1,0,38.2,13.9,0,5.7
dill seeds,20,1,3.6,0,1.1,1.4,0,1.1
caraway seeds,22,1,3.3,0.038,1.3,2.5,0,1.1
acorn raw,110,6.8,11.5,0,1.7,0,0,0.2
almonds roasted,182,16.6,5.3,1.4,6.4,3.2,0,1.1
lotus seeds raw,25,0.1,4.9,0,1.2,0,0,0.3
chestnuts cooked,37,0.4,7.9,0,0.6,0,0,0.5
alfalfa seeds,1,0.075,0.002,0.058,0.1,0.015,0,0.034
virginia peanuts roasted,173,14.6,6,0,7.8,2.7,0,0.5
hazelnuts raw,471,45.6,12.5,3.3,11.2,7.3,0,3.5
anise seeds,7,0.3,1.1,0,0.4,0.3,0,0.8
macadamia nuts roasted,215,22.8,4,1.2,2.3,2.4,0,0.8
studentenfutter alnatura,139,7.8,13.2,11.7,3.1,0.031,1.7,0
pumpkin squash seeds roasted,46,3.9,1.2,0.1,2.4,0.5,0,0.6
water chestnut raw,120,0.1,29.7,6,1.7,3.7,0,0.034
chestnuts roasted,37,0.3,7.9,1.6,0.5,0.8,0,0.1
ginkgo nuts raw,52,0.5,10.6,0,1.2,0,0,0.3
almonds raw,9,0.7,0.3,0.026,0.3,0.2,0,0.082
peanuts roasted,180,15.8,4.6,1.3,8.4,2.8,0,0.5
sunflower seeds toasted,829,76.1,27.6,0,23.1,15.4,0,9.1
sisymbrium seeds,235,3.4,43.1,0,9,0,0,0.098
breadnut tree seeds dried,587,2.7,127,0,13.8,23.8,0,7.4
pecans raw,753,78.4,15.1,4.3,10,10.5,0,2.8
chia seeds dried,138,8.7,11.9,0,4.7,9.7,0,2.2
japanese chestnuts roasted,57,0.2,12.8,0,0.8,0,0,0.6
sesame seeds toasted,45,3.8,2.1,0,1.4,1.1,0,1.2
cashew nuts roasted,174,14.3,9,1.5,5.1,1,0,1.8
lupins raw,668,17.5,72.7,0,65.1,34,0,7.8
mustard seeds ground,10,0.7,0.6,0.1,0.5,0.2,0,0.2
mixed nuts roasted,178,15.4,7.6,1.4,5.2,2.7,0,1.1
salat mix alestro,61,5.2,2.4,0,0,0,0,0
chestnuts raw,309,3.3,66,0,3.5,11.7,0,1.5
pistachio nuts roasted,172,13.7,8.5,2.3,6.3,3.1,0,0.4
walnut,33,3.3,0.7,0.1,0.8,0.3,0,0.1
celery seeds,25,1.6,2.7,0.078,1.2,0.8,0,2.9
hickorynuts dried,788,77.2,21.9,0,15.3,7.7,0,2.5
spanish peanuts roasted,851,72.1,25.7,0,41.2,13.1,0,3.4
woca seeds dried,102,0.3,22.6,0.1,2.2,5.4,0,0.4
pecans roasted,215,22.6,3.9,1.2,2.8,2.9,0,0.7
fennel seeds,7,0.3,1,0,0.3,0.8,0,0.4
chinese chestnuts roasted,68,0.3,14.8,0,1.3,0,0,0.4
watermelon seed kernels dried,602,51.2,16.5,0,30.6,0,0,7.9
macadamia nuts raw,38,4,0.7,0.2,0.4,0.5,0,0.2
pectin,163,0.2,45.2,0,0.2,4.3,0,1.4
black walnut dried,31,3,0.5,0.018,1.2,0.3,0,0.2
water chestnut canned,70,0.015,17.2,3.4,1.2,3.5,0,1.2
ginkgo nuts dried,98,0.6,20.5,0,2.9,0,0,0.5
virginia peanuts raw,822,71.2,24.1,5.8,36.8,12.4,0,3.7
